ID	Target	Tweet	Stance
10	god	You really should do your research before making comments like these because you lose credibility with those who have.Take all the religious killings and they still don't come close to those done by atheistic ideology(communism) What these Communistic regimes did was the logical out working of the atheismism they held to. It should be painfully obvious that atheism is a flawed worldview.	FAVOR
11	god	There's some major tooth-fairing on this side. pisses me off since i'm an intermediate in the FIRST place.	FAVOR
12	god	A supernatural accident then :) The universe is a bubble that happened to form in the supernatural river that has always existed.So say we accept an initial force, so what? Where do you go from there?	AGAINST
13	god	hi i really appreciate your view ,i m a hindu and like u say the christ calls u i do experience some things which we do not notice and when we realize we tend to fall suspicious or name it as coincidence or something likethat.but hey there has to be something superior which created life and he calls to understand him.we completely lost in ignorance and worldly belongings like parents ,money,wife and children get worse to understand this creator free himself from all bondages and lying very within us	FAVOR
14	god	I fail to see where I have anthropomorphized anything. I have simply said that the Unified Force/God is the infinite, unknowable force that created the universe. At this point the question is not Christian theology but whether there is a God. One thing at a time. 	FAVOR
15	god	an atom in this universe must have been created by someone.So who created it?it couldnt just have popped out from somewhere.Please visit this linked.It explains the science of the quraan 	FAVOR
16	god	"""If people were to behave better ""i see many references to people believing in god committing horrible attrocities - crusades, burning witches, suicide bombings, 9/11, and tons more which i would think would be the no - and i don't see the overwhelming good that supposedly follows religion. there is assertion by some that Christians give more to charity without any source but even if that were the case it would appear that the overall effect of belief has still been more negative than positive to me."	AGAINST
17	god	Nicepost.One thing though.. don't take the debate description as my main point. I didn't want to put too much there as it would've all pointed towards my side of the argument rather than just give a brief intro to what we should be talking about.So let's go into your talk about how law work just fine. Laws are changing all the time right? Now if they were good, then they wouldn't need to be changed. And if they have been changed then whose to say that they do not need to be changed again? God's Words will always be right till the end of time. We just don't see it, but in the end we will see it. So we can be here right now running around trying to make it all right, or we can follow Gods advice and we'll get there in the end. It's hard and loooooong to explain but ask me what God says that is wrong (one of those rules thats in all religions) and then tell me that if what he says isn't wrong... why should we not follow him.	FAVOR
18	god	yes and no. while i still believe that there is a heaven and god rules heaven, the theory of evolution overrules the belief that god created everything and He rules over all and controls all.	AGAINST
19	god	 I believe that imagination is truth, meaning whatever YOU believe is true to YOU, nobody else. If YOU believe in God, then it is true to you and will always be, if you don't then that is still what YOU believe, never speak for anyone else and don't let anyone speak for you. This is religion, it's stupid to debate religion, because you are telling others what they should believe. I am not saying I believe in God, I am not saying that there is no God, I am just telling you what is what.	FAVOR
20	god	"It comes as no suprise that you sound like a moron, because to believe the point you're trying to make you would in fact have to be a moron...realize that. Now what do you have to say for the people living in the horrible places of the world who never see one ounce of joy. Why has ""god"" neglected the people of North Korea and just chose to give us happiness and swimming, and football, and walking with our girlfriends. Ha you are so naive it's pathetic"	AGAINST
21	god	"A scientific answer is easy. ""Why not?""Sorry to answer your question with a question, but you're operating on a potentially false premise, that everything has to have a reason for being.Obviously, if you want God to have created everything, then you're going to invent evidence to reinforce that belief."	AGAINST
22	god	"""the burden of disproof of the theory of the existence of God is placed squarely upon my opposition in this debate.""Absolutely ridiculous. How about some more quotes? ""Every claim requires evidence, and extraordinary claims require extraordinary evidence"".Science does not busy itself with disproving *anything*. There's no point in disproving what does not exist.  Rather, the burden is on Christian's to provide evidence for their extraordinary claims. Science is simple, and you seem to have the whole process backwards.The burden of proof is on those who make the claim, not on those who remain skeptical of outrageous claims.The null position is atheism. We are ALL atheists when we are born. We are then taught a religion. The null position is atheism and any deviance from null requires evidence, oh which you have none."	AGAINST
23	god	 How can you explain everything on earth. It got here somehow. I mean, its your choice to believe in him.	FAVOR
24	god	" I've never been able to justify a belief in any sort of higher power(s). I'm also not comfortable admitting that I don't know either way about the existence of a deity, because I don't really see any logical reason to leave the possibility of belief on the table. I see people on here saying roughly the equivalent of ""How do you know? Have you done a complete search of the universe and not found a god?"". There's also the common ""You can't prove a god DOESN'T exist!"" argument. These two arguments can be used against any sort of mythical/hypothetical thing. If I questioned everything in my life this way, I would be leaving room in my mind for every Bigfoot-esque concept in existence.   />   /> Frankly, I am comfortable with just not knowing certain things about the beginnings of our universe and humankind. To me the existence of a supernatural power(s) is just another theory humans have come up with regarding the genesis of the world, the universe, and man. A few others include the Big Bang and evolution. At the moment, I am inclined to believe more in these than the existence of a god simply because of certain proofs. Notice that I say ""believe more"" than ""believe completely"". I have complete faith in neither, as parts of both theories have been proven wrong by the very scientists who formulated their creation. They have been changed and tested (and continue to be) by the international scientific community. Theories don't claim to have all of the answers, but they do stand up to logic (and when aspects of them don't they are thrown out the window). The concept of a higher power does the opposite.  />   /> Basically, I'd rather admit to not knowing about my origins (as a human and as a resident in our solar system) than believe in something that isn't logical, which is why god doesn't exist in my life.  />   /> P.S. If anyone has evidence against the theory of evolution I'm plenty open to it. I completely accept microevolution but I'm still trying to find more proofs for macro so if you have any thoughts please share. Thanks!"	AGAINST
25	god	"""All we can see, measure, and know shows us that matter and energy have always existed.""The author's statement above simply is not accurate.  Big Bag theory, while certainly not an established fact, is widely accepted.  According to that theory, matter as we know it did not exist prior to the Big Bang.  Indeed, the physical laws of the universe that we are so familiar with did not exist.  We cannot know what laws prevailed because the conditions prior to the Big Bang are beyond all experience and, so far at least, are untestable.  One may well deny the Big Bang and that's fine, but the statement that matter and energy have always existed is not supported."	FAVOR
26	god	Why? I don't get how it's confusing?	FAVOR
27	god	This universe hasn't always existed. It had a beginning and it will cease to exist when it reaches absolute zero unless something changes.	FAVOR
28	god	i believe in god so i won't go to hell ^.^	FAVOR
29	god	He's definitly not the God of the   bible  . I have trouble believing that our earth just happened, along with all the rest of humanity. What I don't understand is how God created the human race and then destroyed the entire human race. Then allowed it to flourish again, and now all of us who don't accept Jesus into our hearts will go to hell. Wait a minute isn't he all knowing, didn't he know what was going to happen when he originally created me. He loves me so much he sent his son to die on the cross for  me so my sins could be forgiven but... he made me this way and he knew it was going to turn out this way before I was born. If I don't believe in him he knows my heart and he'll judge me accordingly.	FAVOR
30	god	This is just plain silly. Are you saying only through education can people be right? There are millions of people out there who are uneducated and I would say they are more likely to go to heaven than I am. Education has f*ck all to do with this.I've said from the start not to bring different cases of religion in this. This is purely an argument about God, regardless of what religion is brought in. Not religion, not religious texts, scriptures, rules etc. I could go into greater detail and dismantle your argument but we'll be going into something completely different.	FAVOR
31	god	You know a lot of people go to the color blue after my first post on this website =] I got murdered for that comment me and Xaeon had a page of arguments with eachother woooo good times good times.You can prove that the sky is blue by consulting text books you must BELIEVE in god =] not a direct quote but pretty close	FAVOR
32	god	"I find it interesting that today quantum physicist are searching for the first cause, the god particle, and dark matter.God revealed to Moses thousands of years ago, ""I am who am""  In effect I am what is, the ultimate cause, and it is by faith that we understand this, and faith alone.  We will never figure out the ultimate cause until it is revealed to us in heaven.God has chosen us and the only question that remains is, Will we choose him?  Sadly most won't!"	FAVOR
33	god	The very exsistence of matter invalidates the law of physics. There should be nothing because matter cannot be made or destroyed, only changed if I am to understand your argument correctly. It's amazing how well the Bible is formed, there are no incostencies in it. You just displayed why man made religion is easy to spot, because it will have glaring incosistancies in it.	FAVOR
34	god	I never made such an assumption...We cannot even assume God exists, less so that He is the creator of all we know and the unknown. If God exists, He or She or IT may in fact have ordered existing matter but the problem lies in explaining who created matter BEFORE the supreme Being and how can a Being be Supreme if it came into existence after matter!	FAVOR
35	god	"The ""wait and see"" philosophy isn't the greatest idea. It's like a deer caught in headlights. You are like the deer and the headlights are the afterlife. You have no idea what is coming toward you. Then suddenly, boom. You're dead. You now just experienced the ""afterlife"". Is it what you expected? No. But better to believe in something and be wrong than to not believe in something and still be wrong."	FAVOR
36	god	science can attempt to evaluate whether there seems to be a why, and i think it could make at least a significant case that there isn't. Christians, Muslims, and Jews all believe in the God of Abraham, yet all have different stories, different traditions and different morals. there were 1000's of gods before that one which we now believe do not exist. at a time with very little understanding of the earth's place in the universe, we created stories that tried to describe how and why we are here. as science described the how, god became smaller and smaller, but our desire for purpose and science's inability to disprove our desire, we have left to god the reasoning rather than throwing out the immaterial god with the material one.	AGAINST
37	god	You make the assumption that God created matter and therefore created the universe.  Have you ever considered the idea that God simply organized existing matter to form (not create) the universe?Your assumption does not hold for all faiths.  	FAVOR
38	god	Good Job and analogies it really does start all from faith. Even without religion or believing in god. Having faith in things is important in life whether it relates to doing good in school getting a good job having good health overall faith in yourself. Faith that there is something better than the world life we live in.	FAVOR
39	god	"""Theories of, or beliefs in, a Divine source for the Universe are as ancient as humanity itself Ð at least."" A moot point, but humanity evolved the necessary cognitive function to imagine greater powers far later than the actual first creature that could be called homo sapien.""They constitute the longest standing range of explanations for the source of our world."" And subsequently the least informed.""they cannot explain without significant problems on the one hand"" There are many things wrong with your assertion. One is that, since science doesn't understand, it must be a some wizard in the sky who just did it all randomly. Second, is that there are several theories that postulate on the occurrence of max entropy and it's succession into the condensation of the universe into a single point. At which, entropy can finally reverse, and in one explosion, create matter and energy. The universe would then be a sinusoidal wave of contractions and expansion."	AGAINST
40	god	I don't think he's a moron -- quite the opposite actually -- but it's a simple fact that an atheist would almost definitely not be elected President of the United States. Thus, any politician will have an incentive to delude themselves and avoid thinking about the question too much. So I would say he's not a moron or a liar, he's simply choosing not to seriously question his faith.	AGAINST
41	god	God is my lord in savior and I love him dearly he's my father in heaven and in the sky. I woudn't know what to do with my life, I would prabably go to hell when I die.	FAVOR
42	god	"No, it's not for the greater good. I think that whether people worship an idle or no they are going to act in such a way as they're nature and experience determined.Religion is simply something used as kind of a scapegoat. As an example; if the commandments were handed down in the way the old testament proclaims they were, amidst all kinds of shenanigans, I firmly believe the addition of a god would not have been a necessity, that even they as wild as the book claims them to be, would have wrapped their heads around acting in such a way was self-destructive, without the introduction of some god. (For the record, most likely none of that happened, and it is simply a variation on similar stories found from the older version, the Egyptian Book of the Dead, but it serves as an example)It would seem on the surface to many atheists then, that religion at worse is simply a no-lose, no-gain thing people do.I disagree. I think while many aspects of religion, indeed most, encourage good behaviour,I believe taking the easy-out of describing to the religious masses that the reason this optimal behaviour is desirable as ""uh, uh, because god said so"" encourages stupidity and a lack of reflection,which while in many cases leads to a group of people who act properly in society,at the same time makes it really easy to get them to do ridiculous things like blow up buildings in the name of allah, or crusade against the middle east in the name of god.Thinking people do not act in such a way. I think one who doesn't believe in a god is more likely thinking about these kinds of moral dilemmas instead of simply following some prophet's imagined wishes."	AGAINST
43	god	The evidence of God's existence is all around us: You, Me, Life the World, the Universe. There is no way science can explain how something can just come into existence out of nothing. The Big Bang Theory? Where did that little ball of matter that exploded come from? How did it come to be? There is no way to explain the existence of everything in the universe without God or some sort of higher power. In science, one has to know how to explain something, but we don't have to understand God. One must just have faith. The existence of God is what makes sense to show where everything came from, while science does not makes sense in this subject. Why did we come to be? What causes us to have morals? Do you really want to believe that your mind, body, spirit, and whole being are just a random collection of matter, that you mean nothing. I don't know about you, but that is such a grim thought to me.	FAVOR
44	god	"It is philosophically,logically and scientifically impossible to prove that God exists or does not, for the following reasons:1) A supreme Being is totally perfect therefore cannot be measured, defined or even "" sampled"" as per the scientific method,but if we could...2) God, if he or she exists, is above dimensional space and time (metaphysical) therefore being above and beyond  our capacity to understand or even interpet any supposed "" meausrements"" or information we could obtain using scientific analysis.In other words we wouldn't be able to understand or inerpret any evidence for God, even if we had some that was scientifically valid.3) We cannot , by definition ever understand or know The First Cause (God) because we are only capable of anthropomorphizing any Creator or Force that is metaphysically beyond us. In other words, we give a Divine Supreme Being characteristics that are entirely human such as emotions: anger,jealousy, pity, and physical attributes ."	FAVOR
45	god	No, I don't believe in god(s)- at the same time, I don't think science disproves god(s), nor would the existence of god(s) disprove science. They are not exclusive. It's absolutely personal, and my idea is no.	AGAINST
46	god	Everything works the way it would if there was no god, therefore there's no reason to believe there is a god. Just like there's no reason to believe in Zeus or apollo....Etc Whether it is for the greater good (which it's not) is erroneus. Should people believe in Santa their whole lives, would it be for the greater good...who gives a shit, and no, I don't need a fake story to help me behave. We've spent long enough listening to these people, lets try and seek actual truth, rather than live in a fairy land.	AGAINST
47	god	It appears that you see God as a punisher rather than a redeemer.  I see Him as the source of all that is good in this world and beyond.  Here, we struggle in our lives to live with limitations which keep us from viewing the truth without the shadows of the flesh.  God sent His only Son to enter into our humanity, so that we could enter into His Spirit- and live.  He is transforming us from being mere creatures, into children with life breathed into them, and preparing us for true union.  God made the rocks, trees and all that exists here- but people are different.  Yes, people create lots of God, and somehow struggle against the only true God who asks that we be willing to give up all others.  He is looking for hearts that seek Him, because He knows the better end in store.  Free will allows us to choose the pastures that satisfy us with earthly things.  But while here, we get glimmers of the better things of the Spirit.  I actually do understand your outlook.  I know it will insult you if I tell you that I will pray for you, so let me just wish you well in your search or avoidance.  It is your choice to believe that this is all there is or not.  The key to transforming love, which is what God desires, is that it is reciprocal.  But He allows us to make our own choices.  He has already expressed the greatest love through Jesus Christ.  That is not vain or petty.  That is sacrifice that invites us all to free, unrestrained and eternal truth.  There is no coercion.God bless	FAVOR
48	god	 There is no evidence for the factual existence of any god(s) whatsoever.  The whole idea of esoteric numbers etc. Is really idiotic.	AGAINST
49	god	 This is not irrefutable proof, and nothing you can say can make it so. In my view, both the theistic and atheist arguments are flawed.  We cannot prove the existence of God just as we cannot prove the non-existence of God.   />   /> It's also interesting to see that you say (in relation to the Universe) that an infinite cannot exist, and everything must have a beginning. I ask, where does God begin?   />   /> We cannot understand the mysteries of the Universe just like Christians say we cannot understand the mind of God. Science theory says that a Big Bang give birth to the Universe. It does not explain what set off the Big Bang. Creationist theory says God created the world in six days. It does not explain the evidence for the aforementioned Big Bang. The argument should stop here - there is no proof - irrefutable proof - for either. All we can discern is what is the more likely theory.	AGAINST
50	god	Millions of people over a period of thousands of years have looked for evidence of the   existence   of a   god  . Nobody has ever found one object which could be shown to anyone else to demonstrate that such a god exists. In this case, the overwhelming absence of evidence is proof enough to any reasonable person that there are no gods.	AGAINST
51	god	Words that have no meaning if atheism is true and words that shouldn't exist if atheism is true;good,deeper,educated,understanding.kindness,importance,well-being,well,harm,undesirable,attained,personal  dignity,reward,practical ,scientific,Morality,subjective,opinion,religions,God,proving,opinion,laws,allowed,concepts,books,interpretations,greater  good,right,wrong ,harmful.If you're arguing for atheism it sure sounds like you are borrowing language from another worldview to support your view.	FAVOR
52	god	I wasn't trying to back anything up ... I was like the 4th person on this debate I just got moved down ... All I tried to say was that in the bible that was what was said . Not trying to use the bible to back itself up	FAVOR
53	god	"""God"", there is no evidence for its existence, and god was invented to explain things people couldn't understand, and to keep control on ancient civilizations.Firstly the pope says no to free condoms in Africa.Also religion have us Al Qaeda, the holocaust and Bosnian troubles.We need to stop dreaming and enter the real world."	AGAINST
54	god	 God is dead, and we killed him.	AGAINST
55	god	I live in south korea so I'm not really good at English. If there are some wrong Grammers or words, just turn to a blind eye , please.... My opinion is this. God really exist.I've never seen him before, but I can assure that God exist.When Most scientists are faced on problem which is beyond of his or her ability, they usually rely on the BIBLE. because BIBLE tells eveything. Have you ever found something wrong in the BIBLE? May be you haven't. because it's real. real God and Jesus story.	FAVOR
56	god	 Which came first, the chicken or the egg? If you say egg, how do you get an egg without a chicken? If you say chicken, how do you get a chicken without an egg? The obvious is that the chicken came first, created by spiritual being we call God. This is the only logical way to explain the existence of the chicken or for any other thing on earth or in the heavens. If you say evolution, why aren't there chickens still popping up out of thin air without an egg? Again the only logical conclusion is that there is a creator.	FAVOR
57	god	So if people are good in general, then they should probably make good choices. If they're not making good choices, then they're not really good in general, now are they? If you give a man a knowledge of good and evil, regardless of his beliefs, he'll know what good and evil are. Whether or not his concept of good and evil are the same is up to him, isn't it? Society however, has the power to control the outliers and people who just don't get it.Well as far as murder and other really dumb shit to pull, it's usually considered bad if you're ending up hurting people and/or the community in general by doing it. I don't need a god to tell me that shooting someone is a bad idea, or that it's going to hurt somebody. And yeah, sometimes it is justified. There are some people in this world that need to die because they're a cancer.Adultery? Well, that's a personal choice thing now isn't it. Whether or not someone chooses to care who their mate has sex with is up to them. Most of the time people get really pissed off at that thing. If you enter a relationship where your mate would care, it's probably a bad idea to go fooling around.I honestly do understand everything you are saying, you're being thick headed.	AGAINST
58	god	"""I would rather point out that your inability to prove the origin of life, the origin or very nature of the universe,""A hundred years ago we couldn't prove what lightning was. We couldn't prove what the sun was. We couldn't prove what stars were. We couldn't prove anything regarding atoms, molecular theory, or most of the modern principles of biology and physics.And people, religious people, simply claimed they were God acting in his way. Further back, when it was offered that the world was round and the sun was the center of our galaxy, not the earth, the church killed people over those views. Further back, the Egyptians attributed the sun, the moon and their harvest to religion. Happy gods brought good harvests. Angry gods brought plagues. No science, and religion filled the holes.Religion has always said ""Science can't prove it, therefore it must be god"". And, given enough time, science has always found evidence. "	AGAINST
59	god	Don't you think it's a little more in line with Occam's Razor to live life for its own sake rather than the POSSIBILITY that there is something after? You sound like one of those people who watch the scoreboard more than the game itself.	AGAINST
60	god	It's not God who orders that though is it?You're bringing in the acts of certain people who have USED religion to perform certain acts. Not only have I said that we should be keeping religions out of this, but also that you cannot blame religion for how people have used it. Several wars were not caused by religion but I don't see you arguing against athieism for that...	FAVOR
61	god	"Regarding the cults, the reason why I find them relevant is because followers of the abrahamic religions dismiss them as being completely ""crazy"" when in my opinion, the abrahamic religions in themselves are as deranged as cults. So I find them relevant because it shows what happens when people try to say that they have access to ""god"" or can possibly know his/her mind. There are people out there who still believe in talking snakes... I admit your point in saying we can never know ""everything"", but you must admit that when you make a desicion, even as simple as buying a new computer, you do research and try to find out as much as you can so that you will be better equipped for making a decision. It's as simple as that... we become more educated so we can make better decisions. Which leads to the final point... religious people do not do things just to please god, but because they also think it's the right way of living. I think we are all entitled to the same freedom religious people want of choosing the best way of living if this behavior is not going to harm anyone else. I've never come across any scientific evidence as to why sodomy is bad for you. Therefore, I have no basis for saying it is ""bad"". Why is it bad? If you point out something in science, then you will agree that we need education, scientific facts, to help us make desicions that are not bad for us. But if you just ""think"" it is bad for no reason at all... then it makes no sense. I dont understand your argument about being part lion part tiger. A girl of 12 consenting to sex with a 90 year old... i think if we continue with this god bullshit, children CAN be brainwashed into doing things without questioning them. Have you watched the videos about Jesus Camp? It is very close to the same brainwashing that cult leaders do... and you know what makes it so wrong? that it is targetted at children, who are suceptible . Just as a girl of 12 , we both would agree, has not reached the age of consent to have sex; the children from jesus camp also have not reached the age of consent to accept or reject ideas independently. why? because they have not been exposed to more information about the world. how can god be for the greater good when it inhibits our ability to decide for ourselves? About drugs. I believe they are bad because Ive read enough about their effects on the body. Thus I can say they are bad, there is evidence. But saying things are bad just because of some intuition about god, is just plain ignorance."	AGAINST
62	god	 I god existed then he would come down from heaven and kill all the non believers, so were is this so called justice day, so that means that god does not exist and there is also the big bang theory so shut up you christian fools and go play halo 3	AGAINST
63	god	In the first place there has to be a first cause. We have to start somewhere. In   science   this is called the Unified Force. Since   energy   can neither be created nor destroyed it is infinite. Science also teaches that it is beyond direct observation so it is unknowable. So the Unified Force splits into the Strong Force, the Weak Force and Electromagnetism, creating the Universe.There are then two questions. First, what is the difference between the Unified Force and God? In both cases we have an infinite, unknowable force creating the Universe. Second, what caused the Unified Force to break itself apart?	FAVOR
64	god	 God does exist because I exist, and I felt his love and received the Holy Spirit. I'm the proof of his existance because I believe in him and he wants me to live strongly no matter how many evil and horrible events circulate around the world. Also, why did so many people sacrifice their lives just to spread the word full of love from Christ, even today? And think of the opposite: Why do so many people rail against God a lot? The world will fall apart, but God stands for all eternity.	FAVOR
65	god	I consider myself an atheist, for I see no need for a god to have created the universe or have any role in the playing out of events in this existence.  However this does not automatically mean that god does not exist.  Yet if a god does exist, I do not believe it would be at all the sort of god which any of today's religions adhere to.  It would not care about humans anymore than the air around us, for we are all simply made of matter, energy, and void which interacts according to strict rules which we have never seen broken.  Why would the creator of EVERYTHING care about one small bit of its creation which is in no way different than any other bit except in its own heavily biased opinion.  The universe may just be some pan-dimensional teenager's science-fair experiment simulation on his computer which they created to study the formation of galaxies.  Humans and other life are just things which happened to develop due to this set up of the laws of physics.	AGAINST
66	god	I'm sorry you have so much disbelief. Obviously you put a lot of energy to justify in your own-self about any faith towards God. I'm just going dispute some of the comments about if the world would be better of if Christians where gone. All I have to say is think of a places in the world where there is no God and you will only see death, poverty and despair. The evolution is a farce. Do you remember the cover of national geographic when they had a ape like skull saying that they have found the missing link. Of course that was found out to be a fraud. Point I'm making is, all you have to do is look around and look at the perfect order of nature the extreme complexity and to not even think that there is a creator designer behind it that it is just a mere coincidence. It's just stupid to think that all you are is just a piece of walking flesh do to the fact that evolution is the only reason you are here. And that all of nature with it's perfect order is because. Just look up the number of charities and the number is overwhelmingly Christian based probably the number would be actually more because a lot of them are but are afraid of persecution from Church and State laws.You have denial issues I think deep down you really feel that all of these things are possible but you have chosen to block it out and harden yourself for the truth.You know what makes me laugh is that you have Agnostic historians looking in the bible for references to help them find ancient cities and places. Take Troy for example just to name one out the dozens. They thought it was a myth until they discovered it referenced passages out of the bible to help them. Dude totally have taken the whole 9/11 thing to far. Pretty insulting of course I don't believe those you said. All I was saying is that we have been relatively safe as a nation and my faith believes that yes God does protect us nothing wrong with that. Bad things do happen no matter what trials and tribulations are a part of life.As far as using you storied and other quotes from people and Tibet tribes whatever. I don't care what they think. I don't look to others to convince me of what I know and believe I question man when I hear a preacher or someone else taking about their Ideas. All I know is that there is a God and creator of us and everything. It's my own personal believe. Shame on those missionaries for using a lame story about that which is not true. If they where Mormon that would sound like a BS story from them.	FAVOR
67	god	As I start my doctoral program in biomathematics, I discover that there is absolutely no room for a deity in the advancement of human intellect, science, and mathematics. There is not enough evidence to suggest a deity, therefore the null hypothesis of there not existing one is not rejected if you follow the laws of statistics properly. 	AGAINST
68	god	all humans existed becoz of the improved science and moder techniques.........its true that it is very impossible without any creator, people would exist in this world but I say that it is SCIENCE the creator	AGAINST
69	god	One thing the Bible does is validate itself over and over. Not too long ago, scientist looking at the soil underneath the amazon were amazed when they discovered a sudden shift in the soil and the only explanation they had was that the earth had to come to a complete stop for that shift to happen. They did their dating and it dated back to when God stopped the sun in the book of joshua. Weird. Also, scientist used Hezekiahs tunnel as proof that God didn't exist, until they found it. 	FAVOR
